stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
366,Clinton Hill,Brooklyn,11205,Clinton Ave & Myrtle Ave,40.693261,-73.968896,57
457,Manhattan Community Board 5,Manhattan,10019,Broadway & W 58 St,40.76695317,-73.98169333,259
538,Manhattan Community Board 5,Manhattan,10020,W 49 St & 5 Ave,40.75795248,-73.97787642,129
531,Manhattan Community Board 3,Manhattan,10002,Forsyth St & Broome St,40.71893904,-73.99266288,174
521,Manhattan Community Board 4,Manhattan,10122,8 Ave & W 31 St,40.75044999,-73.99481051,439
474,Manhattan Community Board 5,Manhattan,10035,5 Ave & E 29 St,40.7451677,-73.98683077,191
161,University Village,Manhattan,10012,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,230
223,West Village,Manhattan,10011,W 13 St & 7 Ave,40.73781509,-73.99994661,196
522,Manhattan Community Board 5,Manhattan,10022,E 51 St & Lexington Ave,40.75714758,-73.97207836,133
323,,Brooklyn,11201,Lawrence St & Willoughby St,40.69236178,-73.98631746,275
492,Chelsea,Manhattan,10001,W 33 St & 7 Ave,40.75019995,-73.99093085,228
307,Manhattan Community Board 3,Manhattan,10002,Canal St & Rutgers St,40.71427487,-73.98990025,159
446,Manhattan Community Board 4,Manhattan,10011,W 24 St & 7 Ave,40.74487634,-73.99529885,278
147,Manhattan Community Board 1,Manhattan,10014,Greenwich St & Warren St,40.71542197,-74.01121978,275
467,,Brooklyn,11213,Dean St & 4 Ave,40.68312489,-73.97895137,93
243,,Brooklyn,11217,Fulton St & Rockwell Pl,40.687979,-73.978474,90
377,Manhattan Community Board 2,Manhattan,10005,6 Ave & Canal St,40.72243797,-74.00566443,115
275,,Brooklyn,11221,Washington Ave & Greene Ave,40.68650065,-73.96563307,31
237,Manhattan Community Board 3,Manhattan,10003,E 11 St & 2 Ave,40.73047309,-73.98672378,249
383,Manhattan Community Board 2,Manhattan,10014,Greenwich Ave & Charles St,40.735238,-74.000271,114
496,Manhattan Community Board 5,Manhattan,10003,E 16 St & 5 Ave,40.73726186,-73.99238967,203
472,Manhattan Community Board 5,Manhattan,10016,E 32 St & Park Ave,40.7457121,-73.98194829,229
375,Washington Square Village,Manhattan,10011,Mercer St & Bleecker St,40.72679454,-73.99695094,246
493,Manhattan Community Board 5,Manhattan,10036,W 45 St & 6 Ave,40.7568001,-73.98291153,167
380,Manhattan Community Board 2,Manhattan,10014,W 4 St & 7 Ave S,40.73401143,-74.00293877,384
268,Manhattan Community Board 2,Manhattan,10013,Howard St & Centre St,40.71910537,-73.99973337,214
168,Manhattan Community Board 5,Manhattan,10011,W 18 St & 6 Ave,40.73971301,-73.99456405,313
500,Manhattan Community Board 5,Manhattan,10019,Broadway & W 51 St,40.76228826,-73.98336183,155
329,Manhattan Community Board 1,Manhattan,,Greenwich St & N Moore St,40.72043411,-74.01020609,216
481,,Brooklyn,11249,S 3 St & Bedford Ave,40.71260486,-73.96264403,47
509,Manhattan Community Board 4,Manhattan,10019,9 Ave & W 22 St,40.7454973,-74.00197139,245
2023,Manhattan Community Board 5,Manhattan,10022,E 55 St & Lexington Ave,40.75968085,-73.97031366,67
483,Manhattan Community Board 3,Manhattan,10009,E 12 St & 3 Ave,40.73223272,-73.98889957,218
249,Manhattan Community Board 1,Manhattan,10013,Harrison St & Hudson St,40.71870987,-74.0090009,117
498,Manhattan Community Board 5,Manhattan,,Broadway & W 32 St,40.74854862,-73.98808416,222
479,Clinton,Manhattan,10019,9 Ave & W 45 St,40.76019252,-73.9912551,233
536,Manhattan Community Board 6,Manhattan,10016,1 Ave & E 30 St,40.74144387,-73.97536082,162
497,Manhattan Community Board 5,Manhattan,10010,E 17 St & Broadway,40.73704984,-73.99009296,571
405,Manhattan Community Board 2,Manhattan,10014,Washington St & Gansevoort St,40.739323,-74.008119,207
539,,Brooklyn,11249,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,134
79,Manhattan Community Board 1,Manhattan,10013,Franklin St & W Broadway,40.71911552,-74.00666661,132
454,Manhattan Community Board 6,Manhattan,10022,E 51 St & 1 Ave,40.75455731,-73.96592976,82
2008,Manhattan Community Board 1,Manhattan,10280,Little West St & 1 Pl,40.70569254,-74.01677685,122
517,Manhattan Community Board 5,Manhattan,10017,Pershing Square S,40.75149263,-73.97798848,173
359,Manhattan Community Board 5,Manhattan,10172,E 47 St & Park Ave,40.75510267,-73.97498696,188
391,,Brooklyn,11242,Clark St & Henry St,40.69760127,-73.99344559,109
218,,Brooklyn,11201,Gallatin Pl & Livingston St,40.69028437,-73.98707105,37
345,Manhattan Community Board 2,Manhattan,10011,W 13 St & 6 Ave,40.73649403,-73.99704374,228
434,Manhattan Community Board 4,Manhattan,10019,9 Ave & W 18 St,40.74317449,-74.00366443,136
257,Manhattan Community Board 1,Manhattan,10013,Lispenard St & Broadway,40.71939226,-74.00247214,110
488,Manhattan Community Board 4,Manhattan,10018,W 39 St & 9 Ave,40.75645824,-73.99372222,265
494,,Manhattan,10001,W 26 St & 8 Ave,40.74734825,-73.99723551,172
315,Financial District,Manhattan,,South St & Gouverneur Ln,40.70355377,-74.00670227,163
499,Manhattan Community Board 7,Manhattan,10463,Broadway & W 60 St,40.76915505,-73.98191841,381
527,Kips Bay,Manhattan,10016,E 33 St & 1 Ave,40.74315566,-73.97434726,198
217,Dumbo,Brooklyn,11242,Old Fulton St,40.70277159,-73.99383605,88
456,Manhattan Community Board 5,Manhattan,10055,E 53 St & Madison Ave,40.7597108,-73.97402311,161
297,Gramercy,Manhattan,10003,E 15 St & 3 Ave,40.734232,-73.986923,171
263,Manhattan Community Board 2,Manhattan,10013,Elizabeth St & Hester St,40.71729,-73.996375,183
137,Manhattan Community Board 5,Manhattan,10022,E 56 St & Madison Ave,40.761628,-73.972924,131
293,Manhattan Community Board 2,Manhattan,10003,Lafayette St & E 8 St,40.73028666,-73.9907647,430
290,Manhattan Community Board 6,Manhattan,10035,2 Ave & E 58 St,40.76020258,-73.96478473,159
515,Clinton,Manhattan,10036,W 43 St & 10 Ave,40.76009437,-73.99461843,207
447,Manhattan Community Board 4,Manhattan,10019,8 Ave & W 52 St,40.76370739,-73.9851615,185
2021,Clinton,Manhattan,10036,W 45 St & 8 Ave,40.75929124,-73.98859651,182
83,,Brooklyn,11208,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,90
382,Manhattan Community Board 2,Manhattan,10003,University Pl & E 14 St,40.73492695,-73.99200509,390
545,Manhattan Community Board 6,Manhattan,10010,E 23 St & 1 Ave,40.736502,-73.97809472,186
319,Manhattan Community Board 1,Manhattan,10007,Park Pl & Church St,40.71336124,-74.00937622,144
