stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
486,Midtown South,Manhattan,10019,Broadway & W 29 St,40.7462009,-73.98855723,217
517,Manhattan Community Board 5,Manhattan,10017,Pershing Square S,40.75149263,-73.97798848,285
317,Alphabet City,Manhattan,10009,E 6 St & Avenue B,40.72453734,-73.98185424,200
342,Lower East Side,Manhattan,10002,Columbia St & Rivington St,40.71739973,-73.98016555,69
494,,Manhattan,10001,W 26 St & 8 Ave,40.74734825,-73.99723551,190
447,Manhattan Community Board 4,Manhattan,10019,8 Ave & W 52 St,40.76370739,-73.9851615,194
391,,Brooklyn,11242,Clark St & Henry St,40.69760127,-73.99344559,121
274,,Brooklyn,11221,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,54
348,Manhattan Community Board 2,Manhattan,10012,W Broadway & Spring St,40.72490985,-74.00154702,219
143,,Brooklyn,11231,Clinton St & Joralemon St,40.69239502,-73.99337909,54
2010,Manhattan Community Board 2,Manhattan,10013,Grand St & Greene St,40.72165481,-74.00234737,112
326,Manhattan Community Board 3,Manhattan,10009,E 11 St & 1 Ave,40.72953837,-73.98426726,207
473,Manhattan Community Board 3,Manhattan,10002,Rivington St & Chrystie St,40.72110063,-73.9919254,135
524,,Manhattan,,W 43 St & 6 Ave,40.75527307,-73.98316936,170
147,Manhattan Community Board 1,Manhattan,10014,Greenwich St & Warren St,40.71542197,-74.01121978,281
315,Financial District,Manhattan,,South St & Gouverneur Ln,40.70355377,-74.00670227,141
2006,,Manhattan,10105,Central Park S & 6 Ave,40.76590936,-73.97634151,255
504,Manhattan Community Board 6,Manhattan,10009,1 Ave & E 15 St,40.73221853,-73.98165557,213
464,Manhattan Community Board 6,Manhattan,10022,E 56 St & 3 Ave,40.75934501,-73.96759673,144
463,Manhattan Community Board 4,Manhattan,10019,9 Ave & W 16 St,40.74206539,-74.00443172,227
319,Manhattan Community Board 1,Manhattan,10007,Park Pl & Church St,40.71336124,-74.00937622,154
284,Manhattan Community Board 2,Manhattan,10014,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,359
157,,Brooklyn,11231,Henry St & Atlantic Ave,40.69089272,-73.99612349,78
2002,,Brooklyn,11211,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,94
460,,Brooklyn,11211,S 4 St & Wythe Ave,40.71285887,-73.96590294,55
151,Manhattan Community Board 2,Manhattan,10012,Cleveland Pl & Spring St,40.7218158,-73.99720307,345
448,Manhattan Community Board 4,Manhattan,10018,W 37 St & 10 Ave,40.75660359,-73.9979009,182
322,Cobble Hill,Brooklyn,11201,Clinton St & Tillary St,40.696192,-73.991218,73
309,Manhattan Community Board 1,Manhattan,10007,Murray St & West St,40.7149787,-74.013012,105
357,Washington Square Village,Manhattan,10003,E 11 St & Broadway,40.73261787,-73.99158043,132
475,Manhattan Community Board 6,Manhattan,10003,E 16 St & Irving Pl,40.73524276,-73.98758561,215
247,Manhattan Community Board 2,Manhattan,10014,Perry St & Bleecker St,40.73535398,-74.00483091,148
