,start_hour,age,trip_minutes,clusters
348,17,53.0,7,3
349,9,38.0,12,2
350,13,28.0,11,2
351,17,36.0,44,0
352,19,26.0,24,0
353,10,37.0,5,2
354,14,49.0,4,3
355,9,25.0,11,2
356,15,55.0,28,0
357,9,54.0,6,3
358,16,46.0,4,3
359,19,30.0,9,1
360,22,31.0,2,1
361,17,24.0,10,1
362,9,34.0,5,2
363,7,32.0,8,2
364,9,35.0,11,2
365,9,33.0,4,2
366,19,34.0,17,1
367,15,51.0,30,0
368,13,36.0,31,0
369,16,56.0,16,3
370,17,35.0,30,0
371,16,36.0,44,0
372,18,35.0,4,1
373,16,36.0,9,1
374,13,36.0,16,2
375,11,57.0,25,3
376,17,27.0,2,1
377,21,43.0,13,1
378,23,55.0,14,3
379,17,28.0,21,1
380,15,32.0,9,1
381,17,35.0,3,1
382,23,29.0,5,1
383,12,33.0,19,2
384,17,40.0,10,1
385,22,37.0,4,1
386,8,32.0,11,2
387,7,28.0,12,2
388,7,48.0,23,3
389,19,61.0,6,3
390,8,47.0,16,3
391,0,52.0,2,2
392,17,46.0,2,3
393,6,60.0,6,3
394,12,36.0,44,0
395,6,61.0,16,3
396,9,42.0,12,2
397,0,36.0,20,2
398,8,53.0,5,3
399,8,38.0,11,2
400,8,38.0,9,2
401,11,42.0,16,2
402,16,57.0,15,3
403,19,34.0,10,1
404,12,64.0,8,3
405,8,24.0,19,2
406,17,51.0,4,3
407,18,56.0,25,3
408,15,36.0,24,0
409,10,36.0,19,2
410,18,36.0,21,0
411,10,35.0,6,2
412,19,31.0,16,1
413,6,52.0,8,3
414,16,31.0,16,1
415,22,29.0,13,1
416,17,41.0,12,1
417,20,26.0,23,1
418,12,59.0,8,3
419,19,26.0,32,0
420,16,42.0,11,1
421,9,32.0,15,2
422,11,43.0,8,2
423,23,37.0,13,1
424,21,30.0,14,1
425,18,29.0,12,1
426,10,30.0,9,2
427,20,36.0,11,1
428,9,70.0,17,3
429,12,19.0,7,2
430,23,37.0,6,1
431,20,27.0,7,1
432,6,51.0,3,3
433,19,32.0,36,0
434,19,26.0,5,1
435,10,36.0,11,2
436,17,58.0,8,3
437,9,29.0,5,2
438,9,36.0,10,2
439,15,30.0,21,0
440,19,36.0,8,1
441,16,56.0,8,3
442,19,26.0,17,1
443,19,61.0,14,3
444,17,32.0,16,1
445,12,28.0,3,2
446,16,27.0,4,1
447,11,30.0,4,2
448,13,38.0,14,2
449,19,33.0,5,1
450,20,21.0,2,1
451,20,29.0,12,1
452,17,31.0,2,1
453,18,51.0,7,3
454,11,25.0,3,2
455,2,26.0,3,2
456,22,48.0,4,1
457,16,42.0,29,0
458,17,36.0,29,0
459,17,41.0,8,1
460,16,45.0,5,3
461,21,25.0,12,1
462,9,32.0,6,2
463,19,54.0,5,3
464,16,49.0,5,3
465,8,36.0,19,2
466,20,36.0,8,1
467,16,29.0,4,1
468,22,31.0,10,1
469,9,28.0,3,2
470,15,52.0,15,3
471,16,36.0,20,0
472,18,36.0,26,0
473,15,60.0,5,3
474,9,42.0,7,2
475,23,32.0,6,1
476,20,27.0,8,1
477,17,28.0,14,1
478,18,68.0,6,3
479,10,32.0,8,2
480,8,32.0,30,0
481,12,59.0,24,3
482,15,29.0,19,1
483,13,40.0,4,2
484,9,33.0,13,2
485,20,43.0,6,1
486,13,35.0,36,0
487,9,36.0,44,0
488,11,36.0,13,2
489,18,55.0,11,3
490,22,30.0,4,1
491,9,55.0,28,3
492,15,26.0,7,1
493,16,30.0,11,1
494,16,46.0,7,3
495,14,46.0,12,3
496,16,36.0,16,1
497,10,39.0,8,2
498,14,52.0,12,3
499,12,29.0,4,2
500,11,31.0,17,2
501,22,40.0,5,1
502,2,25.0,8,2
503,11,34.0,2,2
504,19,36.0,14,1
505,7,34.0,8,2
506,17,45.0,22,0
507,15,17.0,12,1
508,7,34.0,9,2
509,18,55.0,4,3
510,9,26.0,12,2
511,17,26.0,13,1
512,13,34.0,26,0
513,10,82.0,18,3
514,21,32.0,6,1
515,12,24.0,11,2
516,18,56.0,15,3
517,22,52.0,11,3
518,17,40.0,18,1
519,15,36.0,7,1
520,23,41.0,21,1
521,17,35.0,5,1
522,6,34.0,12,2
523,16,24.0,29,0
524,10,51.0,9,3
525,18,35.0,20,1
526,11,36.0,23,0
527,8,26.0,19,2
528,16,37.0,4,1
529,18,38.0,5,1
530,18,37.0,12,1
531,11,41.0,7,2
532,18,35.0,6,1
533,7,36.0,44,0
534,9,29.0,8,2
535,21,36.0,14,1
536,17,25.0,3,1
537,18,34.0,6,1
538,20,27.0,18,1
539,8,67.0,9,3
540,15,46.0,5,3
541,16,29.0,12,1
542,20,21.0,27,0
543,14,22.0,7,1
544,16,37.0,36,0
545,8,30.0,18,2
546,18,28.0,16,1
547,6,36.0,5,2
548,15,22.0,3,1
549,13,25.0,4,2
550,8,27.0,44,0
551,18,27.0,1,1
552,15,36.0,16,1
553,9,26.0,17,2
554,14,34.0,23,0
555,8,51.0,6,3
556,16,24.0,17,1
557,8,43.0,15,2
558,18,33.0,9,1
559,22,28.0,7,1
560,21,27.0,21,1
561,17,25.0,11,1
562,19,29.0,34,0
563,10,47.0,6,3
564,12,34.0,12,2
565,23,35.0,11,1
566,17,38.0,7,1
567,8,43.0,6,2
568,16,26.0,15,1
569,14,30.0,6,1
570,9,61.0,11,3
571,11,36.0,6,2
572,16,50.0,5,3
573,21,35.0,24,0
574,15,36.0,27,0
575,13,27.0,7,2
576,19,24.0,11,1
577,11,49.0,17,3
578,16,39.0,7,1
579,4,44.0,6,2
580,13,36.0,43,0
581,18,31.0,15,1
582,16,48.0,8,3
583,14,21.0,5,1
584,1,25.0,8,2
585,7,33.0,6,2
586,16,57.0,6,3
587,18,36.0,2,1
588,17,60.0,38,0
589,10,40.0,13,2
590,6,31.0,33,0
591,17,43.0,27,0
592,19,25.0,10,1
593,0,32.0,11,2
594,18,33.0,15,1
595,7,48.0,29,0
596,17,29.0,9,1
597,7,55.0,4,3
598,11,26.0,8,2
599,16,36.0,3,1
600,18,25.0,6,1
601,8,34.0,11,2
602,19,37.0,5,1
603,9,35.0,17,2
604,9,29.0,6,2
605,7,27.0,19,2
606,14,30.0,4,1
607,14,30.0,5,1
608,20,28.0,27,0
609,21,37.0,14,1
610,22,50.0,15,3
611,18,30.0,10,1
612,19,24.0,18,1
613,19,39.0,3,1
614,18,33.0,9,1
615,10,26.0,3,2
616,19,25.0,11,1
617,9,35.0,11,2
618,14,44.0,8,3
619,16,38.0,17,1
620,7,36.0,44,0
621,20,25.0,8,1
622,18,32.0,19,1
623,12,22.0,15,2
624,7,30.0,6,2
625,14,41.0,14,1
626,14,26.0,44,0
627,12,36.0,23,0
628,2,26.0,2,2
629,18,31.0,5,1
630,17,44.0,27,0
631,7,32.0,6,2
632,21,26.0,2,1
633,11,43.0,33,0
634,7,57.0,13,3
635,17,50.0,14,3
636,17,45.0,10,3
637,6,25.0,17,2
638,13,46.0,3,3
639,3,29.0,7,2
640,18,50.0,16,3
641,19,52.0,9,3
642,17,36.0,25,0
643,23,24.0,9,1
644,14,48.0,7,3
645,12,40.0,5,2
646,19,57.0,5,3
647,19,27.0,21,1
648,10,62.0,5,3
649,16,39.0,4,1
650,12,35.0,10,2
651,13,27.0,12,2
652,13,46.0,21,3
653,17,25.0,8,1
654,16,36.0,16,1
655,15,32.0,13,1
656,9,23.0,6,2
657,20,47.0,4,1
658,22,37.0,4,1
659,18,45.0,3,1
660,8,49.0,5,3
661,14,41.0,16,1
662,8,56.0,13,3
663,9,23.0,4,2
664,9,51.0,10,3
665,12,36.0,4,2
666,17,46.0,23,0
667,17,53.0,4,3
668,14,56.0,21,3
669,12,23.0,20,2
670,13,62.0,9,3
671,21,28.0,20,1
672,16,28.0,13,1
673,19,33.0,17,1
674,10,50.0,15,3
675,13,36.0,19,0
676,13,54.0,14,3
677,17,49.0,9,3
678,6,44.0,1,2
679,13,51.0,3,3
680,17,26.0,3,1
681,0,54.0,12,2
682,9,32.0,13,2
683,14,25.0,13,1
684,22,48.0,10,1
685,9,50.0,38,0
686,13,60.0,2,3
687,15,44.0,8,3
688,14,26.0,12,1
689,8,30.0,6,2
690,6,36.0,4,2
691,18,30.0,9,1
692,15,24.0,7,1
693,12,35.0,37,0
694,14,55.0,6,3
695,20,29.0,24,0
696,17,27.0,3,1
697,7,35.0,9,2
698,19,37.0,28,0
699,18,45.0,19,3
700,21,23.0,3,1
701,20,26.0,17,1
702,16,55.0,7,3
703,18,28.0,4,1
704,21,53.0,19,3
705,12,54.0,44,0
706,17,31.0,1,1
707,10,35.0,3,2
708,18,49.0,17,3
709,8,27.0,8,2
710,18,36.0,13,1
711,11,62.0,4,3
712,18,61.0,27,3
713,18,34.0,6,1
714,15,36.0,24,0
715,10,36.0,18,2
716,7,27.0,9,2
717,12,36.0,8,2
718,12,66.0,4,3
719,11,29.0,3,2
720,17,41.0,19,1
721,7,57.0,27,3
722,16,49.0,9,3
723,17,31.0,14,1
724,16,38.0,9,1
725,17,35.0,6,1
726,21,22.0,8,1
727,15,36.0,23,0
728,9,31.0,7,2
729,11,37.0,13,2
730,8,29.0,10,2
731,20,33.0,9,1
732,9,34.0,6,2
733,19,32.0,5,1
734,17,49.0,11,3
735,9,32.0,8,2
736,22,31.0,7,1
737,11,38.0,23,0
738,20,36.0,13,1
739,5,39.0,5,2
740,21,33.0,10,1
741,18,25.0,16,1
742,20,39.0,24,0
743,19,36.0,14,1
744,7,37.0,13,2
745,19,27.0,8,1
746,8,29.0,7,2
747,12,48.0,11,3
748,15,45.0,16,3
749,17,31.0,5,1
750,22,28.0,8,1
751,9,32.0,7,2
752,16,29.0,4,1
753,19,55.0,1,3
754,14,36.0,22,0
755,16,41.0,34,0
756,14,73.0,16,3
757,17,36.0,17,1
758,9,36.0,44,0
759,17,55.0,14,3
760,14,35.0,5,1
761,22,23.0,8,1
762,19,23.0,16,1
763,0,35.0,7,2
764,17,29.0,13,1
765,17,45.0,25,0
766,9,69.0,3,3
767,9,31.0,7,2
768,16,31.0,11,1
769,0,20.0,24,2
770,18,31.0,27,0
771,17,25.0,7,1
772,18,51.0,13,3
773,13,48.0,36,0
774,14,41.0,8,1
775,11,36.0,3,2
776,21,45.0,4,1
777,21,29.0,18,1
778,19,36.0,6,1
779,9,22.0,4,2
780,18,54.0,8,3
781,11,26.0,12,2
782,19,36.0,6,1
783,19,35.0,6,1
784,17,50.0,2,3
785,6,30.0,20,2
786,14,45.0,19,3
787,13,26.0,6,2
788,6,44.0,2,2
789,23,31.0,10,1
790,14,22.0,5,1
791,11,28.0,4,2
792,20,27.0,5,1
793,10,36.0,17,2
794,8,56.0,10,3
795,19,41.0,6,1
796,9,30.0,27,0
797,12,36.0,6,2
798,1,36.0,24,2
799,18,37.0,30,0
800,14,36.0,20,0
801,7,33.0,6,2
802,18,53.0,22,3
803,21,32.0,3,1
804,16,42.0,11,1
805,0,39.0,15,2
806,12,65.0,13,3
807,18,42.0,10,1
808,12,36.0,16,2
809,8,29.0,11,2
810,9,40.0,2,2
811,9,42.0,19,2
812,17,50.0,5,3
813,8,27.0,13,2
814,7,40.0,10,2
815,16,30.0,2,1
816,13,44.0,6,3
817,6,33.0,6,2
818,20,27.0,12,1
819,6,41.0,10,2
820,10,40.0,13,2
821,17,28.0,17,1
822,17,32.0,19,1
823,6,40.0,6,2
824,16,29.0,10,1
825,12,49.0,7,3
826,16,40.0,25,0
827,19,37.0,37,0
828,9,33.0,36,0
829,13,31.0,14,2
830,10,49.0,17,3
831,13,36.0,14,2
832,17,36.0,6,1
833,16,46.0,5,3
834,20,48.0,4,3
835,6,45.0,9,2
836,8,34.0,8,2
837,15,38.0,14,1
838,21,29.0,7,1
839,16,36.0,21,0
840,18,43.0,19,1
841,20,32.0,11,1
842,15,32.0,12,1
843,20,33.0,5,1
844,16,42.0,8,1
845,18,36.0,12,1
846,17,33.0,6,1
847,19,31.0,8,1
848,7,41.0,6,2
849,12,33.0,5,2
850,17,20.0,9,1
851,9,26.0,9,2
852,12,45.0,9,3
853,11,31.0,5,2
854,16,34.0,20,0
855,16,49.0,7,3
856,6,65.0,14,3
857,8,36.0,44,0
858,18,45.0,9,1
859,20,25.0,6,1
860,17,42.0,21,0
861,9,36.0,6,2
862,15,26.0,10,1
863,17,41.0,3,1
864,15,32.0,6,1
865,15,36.0,17,1
866,11,36.0,12,2
867,8,58.0,4,3
868,6,45.0,5,2
869,11,36.0,28,0
870,8,44.0,15,2
871,15,25.0,3,1
872,14,51.0,17,3
873,14,31.0,5,1
874,15,36.0,37,0
